ipc,context_switches(K/sec),cpu_migrations(/sec),page_faults(/sec),branches(M/sec),branch_misses(%),L1_dcache_loads(M/sec),L1_dcache_load_misses(%)
1.00,8.829,28.608,19557.376,293.758,1.68,535.065,7.33
1.11,8.618,31.822,15210.496,351.143,1.31,642.252,6.08
1.25,8.326,33.129,3296.256,360.744,1.26,746.512,5.02
1.11,8.473,35.140,16940.032,331.936,1.45,666.177,6.05
1.04,8.172,27.062,18664.448,354.868,1.29,439.022,8.37
1.02,7.994,30.976,18682.88,349.975,1.33,459.174,8.02
0.66,6.479,54.565,22504.448,245.615,2.08,317.129,10.88
0.67,6.763,47.934,25698.304,241.406,1.98,315.607,11.27
0.79,7.069,32.473,24199.168,311.115,1.47,406.78,9.36
0.71,7.840,36.307,48414.72,246.993,1.95,317.961,13.31
0.70,8.818,40.791,46308.352,252.033,1.89,325.179,13.75
0.72,8.565,53.097,45901.824,264.528,1.83,341.636,13.20
0.72,8.775,49.988,49187.84,263.630,1.89,338.97,13.68
0.69,8.272,40.030,37633.024,235.120,2.01,305.925,13.55
0.70,8.589,35.228,42958.848,248.037,2.10,325.324,13.85
0.68,8.562,39.133,48361.472,240.988,1.99,316.887,13.69
0.70,8.646,32.437,45967.36,247.244,2.03,317.901,13.41
0.72,8.772,43.474,48607.232,238.924,2.04,366.406,11.60
0.71,6.631,44.631,22719.488,267.909,1.68,344.131,10.04
0.70,8.868,39.683,42912.768,212.687,2.25,336.717,12.09
0.81,8.790,32.806,37520.384,197.407,2.36,447.321,8.95
0.89,8.460,47.727,31364.096,210.566,2.17,510.386,7.55
0.91,6.936,57.167,16783.36,291.270,1.53,488.903,7.16
0.95,8.811,40.667,34353.152,254.607,1.79,532.081,7.46
0.94,9.291,44.893,28450.816,266.656,1.88,529.026,7.64
0.99,8.608,45.678,20858.88,271.057,1.76,502.429,7.56
1.10,8.796,41.725,16045.056,306.693,1.48,609.914,6.06
1.08,8.611,40.813,19297.28,318.137,1.43,612.205,6.28
1.16,8.653,42.420,17901.568,354.132,1.30,694.902,5.51
1.18,8.960,35.716,13234.176,349.414,1.32,705.266,5.38
1.27,8.695,44.271,5783.552,353.203,1.35,768.803,4.78
1.04,8.142,38.925,21382.144,317.662,1.44,564.474,6.75
1.09,9.141,42.771,20639.744,388.533,1.26,542.028,7.17
1.00,8.235,50.151,24056.832,345.897,1.34,475.499,7.73
0.61,8.196,87.959,26525.696,233.550,2.20,319.235,11.13
0.67,7.865,55.845,32693.248,249.911,1.76,334.034,12.58
