r (procs),b (procs),Swap (KB),Free (KB),Buffers (KB),Cached (KB),si (KB/s),so (KB/s),bi (blocks/s),bo (blocks/s),in (interrupts/s),cs (context switches/s),us (%),sy (%),id (%),wa (%),st (%)
6.4,0.2,1085984.0,3707939.2,140311.2,415504.8,6.4,0.0,32.0,21443.2,16806.8,32601.8,34.8,54.4,8.8,2.0,0.0
4.4,0.2,1081881.6,3907998.4,140369.6,422429.6,1208.8,0.0,1281.6,20574.4,14901.4,28741.0,31.0,59.8,8.0,1.2,0.0
5.6,0.0,1081744.0,4175888.0,140492.0,418725.6,6.4,0.0,17.0,21884.8,17596.0,33987.0,31.2,57.8,9.0,2.2,0.0
6.2,0.4,1081648.0,4466980.0,140507.2,422482.4,4.0,0.0,4.0,23073.6,17990.4,34705.2,30.6,59.4,8.4,1.8,0.0
7.0,0.2,1081593.6,4956479.2,140527.2,422141.6,11.2,0.0,11.2,21339.2,16946.2,32434.6,31.2,59.6,7.6,1.8,0.0
5.8,0.0,1081330.4,4878005.6,140536.0,420268.8,12.8,0.0,14.4,22697.6,17206.8,33409.6,29.6,59.2,9.6,1.8,0.0
7.2,0.2,1688284.8,4929751.2,140536.8,416499.2,5.6,135769.6,5.6,153080.0,15256.6,26687.8,23.0,67.6,7.8,1.8,0.0
7.8,0.0,1458373.6,4959920.0,140556.8,421116.8,18.4,168974.4,18.4,185616.0,14113.6,24490.8,27.4,64.8,6.2,1.8,0.0
5.8,0.0,1210635.2,5247616.0,140572.0,422957.6,0.8,55485.6,0.8,77229.6,17003.0,33418.6,30.2,59.2,9.2,2.0,0.0
6.6,0.4,1054360.0,5267372.8,140577.6,426391.2,5.6,0.0,189.6,22093.6,16704.8,32048.0,38.6,51.0,8.6,1.8,0.0
7.0,0.4,1054296.0,5599120.8,140589.6,424091.2,35.2,0.0,35.2,23521.6,18455.4,34915.6,34.4,53.4,10.0,2.2,0.0
8.8,0.0,1113026.4,5889873.6,140601.6,428454.4,9.6,78643.2,18.4,100033.6,16745.4,30292.2,25.2,65.0,7.8,1.6,0.0
7.2,1.0,1131905.6,6192089.6,140616.0,425379.2,2.4,95418.4,6.4,113896.8,16939.2,28883.6,22.4,65.0,9.8,3.0,0.0
5.8,0.2,1054108.0,6331036.8,140622.4,428038.4,30.4,0.0,30.4,25201.6,15875.2,32232.0,35.0,56.8,7.6,0.6,0.0
5.6,0.0,1054104.8,6565897.6,140641.6,429214.4,1.6,61.6,1.6,27332.8,19364.8,38239.2,40.2,50.0,8.8,1.4,0.0
9.8,0.4,1105312.0,946944.8,135464.8,379735.2,6.4,45514.4,1132.8,63821.6,15760.4,25761.2,29.8,66.4,2.8,1.2,0.0
9.4,0.0,1067980.0,1731155.2,96480.0,342324.8,858.4,962.4,3976.2,20216.8,15263.0,27555.4,32.8,63.0,3.8,0.6,0.0
9.6,0.4,1112695.2,3651467.2,67756.0,354849.6,536.0,0.0,7551.6,21458.4,15900.4,28738.6,34.8,61.8,3.2,0.6,0.0
9.4,0.8,1102763.2,1730444.0,114762.4,337205.6,207.2,948.0,631.8,23730.4,15280.6,29205.2,33.8,61.8,4.2,0.6,0.0
9.4,0.4,1101198.4,3156836.0,125842.4,355369.6,790.4,0.0,2415.6,19177.6,14547.6,26598.6,35.8,58.2,5.2,1.0,0.0
9.4,0.4,1094900.8,2600128.8,131263.2,377734.4,184.8,0.0,2304.2,20776.0,16878.2,29615.4,33.6,61.4,4.4,0.8,0.0
8.6,0.2,1090715.2,3144368.0,133252.0,384802.4,212.8,0.0,247.2,21356.0,16690.6,30820.2,35.4,59.6,4.2,1.0,0.0
7.6,0.0,1089896.0,4195208.8,133772.8,392672.0,17.6,0.0,1205.4,20894.4,16870.4,30307.6,36.8,59.2,3.6,0.8,0.0
9.6,0.0,1089281.6,4055111.2,134031.2,401057.6,40.0,0.0,54.4,22160.8,16053.2,29343.4,36.8,59.2,3.4,0.8,0.0
8.2,0.0,1088872.0,4177205.6,134170.4,402869.6,108.0,0.0,128.8,19083.2,13175.4,25945.6,35.8,60.4,3.4,0.6,0.0
7.2,0.2,1088360.0,4265048.8,134228.8,404908.8,409.6,0.0,1405.6,21676.0,16916.8,30539.2,36.0,59.4,4.4,0.8,0.0
9.6,0.4,1084232.0,4807694.4,134277.6,404976.0,7.2,0.0,55.2,22824.0,17444.4,31873.8,34.6,60.8,4.0,0.6,0.0
8.4,0.6,1084232.0,5260125.6,134296.8,406353.6,28.8,0.0,60.4,22600.8,16360.0,31531.0,37.0,59.4,3.2,0.2,0.0
8.0,0.4,1325482.4,3862347.2,134317.6,410089.6,24.0,118112.8,33.6,134907.2,14298.0,23951.8,35.8,59.8,3.8,1.0,0.0
8.6,0.0,1081566.4,5173369.6,134360.0,406871.2,14.4,0.0,14.4,21376.8,15478.0,28425.6,37.4,57.6,4.6,0.8,0.0
8.6,0.0,1081080.0,5179354.4,134390.4,409960.8,24.0,0.0,52.0,22103.2,16349.0,30852.8,37.8,57.8,4.0,0.6,0.0
6.6,0.6,1080732.0,4888541.6,134414.4,412385.6,5.6,0.0,5.6,22912.0,16202.4,30378.6,39.0,56.0,4.6,0.6,0.0
8.4,0.0,1080312.8,4484855.2,134440.0,410688.8,95.2,0.0,117.6,22384.0,16339.2,30642.4,39.6,57.4,3.2,0.0,0.0
9.4,0.4,1080234.4,4761939.2,134444.0,409431.2,4.8,0.0,4.8,20935.2,15868.4,29074.6,41.2,54.6,3.8,1.0,0.0
9.2,0.2,1079101.6,4735828.8,134448.0,411184.8,67.2,0.0,67.2,21004.8,16690.0,30034.0,43.8,53.0,2.8,0.2,0.0
9.4,0.0,1095010.4,4860586.4,134488.0,424572.0,12.0,16404.0,65.6,37082.4,15881.6,28010.8,44.0,51.2,3.8,1.0,0.0
10.0,0.2,1069252.0,5545080.0,134516.0,420444.8,2.4,0.0,2.4,22996.8,16034.4,30177.0,43.6,52.4,3.6,0.4,0.0
8.8,0.4,1068740.0,5592600.0,134644.0,427968.8,12.0,0.0,12.8,26961.6,16217.6,29746.4,41.6,55.6,2.8,0.2,0.0
8.6,0.0,1067736.0,5674276.8,134869.6,426366.4,51.2,0.0,802.4,25206.4,16683.8,31178.0,43.4,53.6,2.8,0.4,0.0
11.6,0.6,1178077.6,5669540.0,134931.2,424426.4,5813.6,68628.8,5866.0,84915.2,12816.8,21209.2,40.2,57.2,2.2,0.8,0.0
10.0,0.2,1186313.6,5936867.2,134936.0,424544.8,38.4,55099.2,40.8,74240.8,12042.0,21268.4,39.8,56.2,3.6,0.6,0.0
7.8,0.0,1037028.0,6187757.6,134943.2,426676.8,6.4,0.0,16.0,25618.4,15980.2,30401.8,44.0,51.8,3.6,0.6,0.0
8.4,0.0,1036596.0,6314739.2,134950.4,430498.4,326.4,0.0,980.4,24316.8,15370.6,28127.6,43.4,51.2,4.8,1.0,0.0
8.2,0.0,1036596.0,6541344.8,134960.0,429034.4,18.4,36.0,18.4,25292.8,16200.0,29618.0,47.6,49.0,3.2,0.6,0.0
7.6,0.2,1136218.4,457914.4,82078.4,313617.6,476.0,74421.6,6568.0,93428.0,15182.0,23053.2,26.4,68.6,3.6,1.4,0.0
9.6,0.8,1275751.2,604248.0,24824.0,290283.2,8834.4,33994.4,20709.0,54375.2,15580.6,25065.4,29.8,65.0,3.8,1.4,0.0
7.4,0.4,1163978.4,3701054.4,84121.6,337504.8,296.0,0.0,2915.2,24610.4,15497.6,28881.2,31.2,62.2,5.4,1.2,0.0
