ipc,context_switches(K/sec),cpu_migrations(/sec),page_faults(/sec),branches(M/sec),branch_misses(%),L1_dcache_loads(M/sec),L1_dcache_load_misses(%),r (procs),b (procs),Swap (KB),Free (KB),Buffers (KB),Cached (KB),si (KB/s),so (KB/s),bi (blocks/s),bo (blocks/s),in (interrupts/s),cs (context switches/s),us (%),sy (%),id (%),wa (%),st (%),avg-latency
0.7,4.191,35.869,41740.288,169.159,1.3,209.171,15.14,8.8,0.0,888972.8,1658697.6,71636.0,343421.6,235.2,4619.2,13633.4,20430.4,9988.8,17159.0,34.0,60.2,5.4,1.0,0.0,0.33
0.81,4.398,34.486,38159.36,199.461,1.12,252.854,12.32,7.6,0.2,885024.0,2105903.2,103207.2,341752.0,224.8,0.0,1186.8,17261.6,9614.4,17755.8,35.6,57.8,6.2,1.0,0.0,0.37
0.8,4.309,32.916,39021.568,195.497,1.45,248.929,12.72,7.4,0.2,884358.4,2574978.4,121301.6,348607.2,172.0,0.0,1584.8,15798.4,9481.0,17139.0,35.4,58.4,5.4,0.8,0.0,0.43
0.82,4.083,28.911,35743.744,202.472,1.08,259.855,11.84,7.4,1.0,883334.4,2297324.0,129069.6,372566.4,100.0,0.0,348.0,15943.2,9084.8,16658.8,35.8,58.4,5.6,0.8,0.0,0.25
0.8,4.638,31.522,41168.896,197.448,1.03,250.059,12.73,6.2,0.6,882208.0,3148280.8,133143.2,371808.0,35.2,0.0,114.4,17196.8,10035.0,18597.0,31.0,58.2,9.6,1.2,0.0,0.31
0.75,3.496,28.815,35523.584,189.333,1.17,240.692,11.61,8.0,0.0,882816.0,688000.8,96813.6,290856.8,36.8,920.8,1516.2,14654.4,8406.2,14662.4,28.0,65.2,5.6,1.0,0.0,0.45
0.79,4.407,25.736,33694.72,188.188,1.33,238.776,12.17,8.8,0.8,890208.0,2296409.6,52195.2,426238.4,620.8,0.0,18574.2,14804.0,9802.8,17361.4,32.8,56.6,9.2,1.8,0.0,0.54
0.79,4.605,24.531,46174.208,195.011,1.05,247.74,12.53,6.0,0.0,888979.2,2670305.6,99776.0,445676.8,164.8,0.0,1791.6,16334.4,10181.2,18447.8,30.2,57.2,11.0,1.8,0.0,0.64
0.81,4.689,30.968,42009.6,203.476,1.06,264.505,11.65,5.2,0.4,888416.0,2672700.8,119289.6,462115.2,104.0,0.0,1088.2,17216.8,10324.4,18756.8,29.8,57.6,11.0,1.6,0.0,0.38
0.77,3.889,42.064,30817.28,186.476,1.23,238.308,11.79,8.6,0.0,949029.6,2033383.2,128536.8,465080.0,40.8,42517.6,107.2,57726.4,10264.2,16652.8,29.0,59.4,9.2,2.4,0.0,0.45
0.72,3.734,37.172,29070.336,167.184,1.32,212.369,12.44,8.8,0.4,919910.4,1991340.8,131414.4,467942.4,91.2,41956.0,328.0,56148.0,9948.4,15501.4,32.0,58.6,7.8,1.8,0.0,0.4
0.67,2.939,58.228,19321.856,160.77,1.68,196.166,10.66,8.6,0.8,907748.0,168798.4,56784.0,265414.4,1183.2,36092.0,19930.2,45859.2,8811.8,12463.2,15.2,77.2,3.8,3.8,0.0,0.61
0.68,2.762,51.277,28508.16,178.434,1.23,209.844,11.51,7.0,2.2,911428.0,294915.2,22570.4,236383.2,832.8,36249.6,24725.6,44580.8,9285.4,12395.6,13.6,74.4,5.8,6.0,0.0,0.43
0.74,4.856,20.286,44595.2,169.605,1.46,217.089,11.56,4.4,0.4,935030.4,3755820.8,47031.2,408195.2,2383.2,0.0,21326.8,16469.6,11137.4,20321.8,19.8,61.2,15.0,4.0,0.0,0.29
0.73,4.452,23.987,41337.856,185.375,0.98,237.171,11.56,5.6,0.4,895608.0,2657317.6,66312.0,289411.2,120.0,4713.6,3686.6,20360.0,10252.4,18090.4,21.0,61.6,14.4,3.4,0.0,0.24
0.7,4.771,22.019,56048.64,162.304,1.01,201.416,13.09,5.4,0.2,864352.0,4255696.0,92475.2,365334.4,421.6,0.0,11672.0,16890.4,10603.0,19822.2,24.6,55.8,16.8,2.8,0.0,0.48
0.69,5.022,27.362,57601.024,168.624,0.94,211.503,14.23,6.2,0.4,860979.2,3816732.0,116689.6,372570.4,311.2,0.0,593.8,19384.8,10294.2,20458.4,23.2,60.4,14.4,1.8,0.0,0.31
0.7,4.794,29.234,50778.112,157.284,0.98,198.594,13.63,5.6,0.2,860246.4,4283668.0,127882.4,376199.2,82.4,0.0,123.2,17062.4,9980.8,19219.4,23.2,59.0,15.2,2.6,0.0,0.31
0.66,2.593,97.173,17014.784,179.174,1.49,209.103,10.65,7.8,1.0,1022003.2,107983.2,23152.8,179424.0,155.2,80331.2,24856.0,86853.6,11011.2,11620.4,4.2,85.4,3.4,7.0,0.0,0.22
0.57,3.996,33.739,38843.392,143.937,1.11,181.775,13.29,7.2,0.2,1007475.2,1612987.2,48620.8,337033.6,3447.2,49381.6,17800.8,61827.2,13456.4,15462.8,9.2,75.4,10.4,5.2,0.0,0.38
0.73,3.455,34.1,29546.496,183.538,0.9,237.369,10.03,5.2,0.8,912461.6,1190652.0,30321.6,195489.6,168.8,10092.8,12650.0,20871.2,7875.4,12778.4,12.8,73.6,10.2,3.2,0.0,0.37
0.6,3.874,55.162,31757.312,138.368,1.16,179.684,12.73,4.2,0.2,1018643.2,1585921.6,63480.0,345697.6,204.0,54055.2,14313.2,67423.2,11348.0,15952.6,10.6,69.0,15.8,4.8,0.0,0.38
0.63,5.62,21.922,59163.648,146.142,0.84,184.479,15.02,4.4,0.4,903730.4,3606936.8,102438.4,350942.4,54.4,0.0,1055.2,19068.0,11464.6,22225.0,18.0,58.4,19.6,4.0,0.0,0.31
0.63,4.776,27.656,48865.28,128.193,0.96,165.108,14.66,5.6,0.0,899381.6,4205088.8,124185.6,372740.8,346.4,0.0,1958.8,15787.2,9609.2,18093.0,18.0,62.0,16.8,3.2,0.0,0.28
0.64,5.737,12.404,55806.976,142.967,0.81,184.85,14.17,6.0,0.0,859746.4,4258983.2,133439.2,418542.4,44.0,0.0,384.8,19481.6,11597.2,22516.4,18.6,56.2,20.8,4.2,0.0,0.39
