r,b,交换,空闲,缓冲,缓存,si,so,bi,bo,in,cs,us,sy,id,wa,st
7.33,0.00,921757.33,3558407.33,12337.33,422912.67,26.17,127.17,64.67,377.67,3213.50,6409.67,44.67,40.67,14.67,0.00,0.00
6.83,0.00,921472.67,3811550.00,12682.67,425666.67,48.83,127.00,78.00,382.83,4190.83,7564.33,49.67,35.67,14.67,0.17,0.00
7.50,0.00,921249.33,3807694.00,12989.33,425639.33,42.83,127.00,92.67,257.50,3163.33,6862.50,51.17,34.17,14.67,0.17,0.00
14.00,1.17,1168137.33,104784.00,3714.67,235792.00,10036.17,87954.33,49237.83,88112.17,10993.67,12748.67,15.83,68.50,14.50,0.83,0.00
11.00,0.33,1604260.67,103586.00,4070.00,239118.67,3629.00,150760.83,48637.83,151182.67,12215.33,10099.83,19.00,65.50,14.67,1.00,0.00
9.00,0.00,1027597.33,6454910.00,5914.67,347895.33,720.50,168.00,18324.33,287.17,4469.83,8160.17,64.50,21.00,14.50,0.17,0.00
8.00,0.17,1044127.33,6087550.67,8974.67,387360.67,793.83,62786.67,1981.33,62961.83,6212.00,8230.83,47.00,38.00,14.67,0.33,0.00
7.83,0.00,967201.33,5671648.00,9586.67,395037.33,356.50,131.00,398.67,252.17,6668.67,83356.33,52.00,32.33,15.50,0.00,0.00
9.00,0.00,1335515.33,5242568.00,9974.00,403320.00,615.83,77651.17,972.83,77818.33,4694.33,6857.50,50.67,34.83,14.50,0.00,0.00
7.83,0.00,961668.00,4971110.67,10309.33,411501.33,1092.50,131.50,2103.00,406.67,2749.83,5538.67,64.00,21.67,14.50,0.00,0.00
9.00,0.00,960729.33,4682512.67,10910.67,420847.33,1505.17,131.50,1915.50,276.00,4936.67,8756.67,57.00,28.67,14.33,0.00,0.00
8.17,0.00,959705.33,4277019.33,11210.00,424182.67,78.50,131.50,98.00,353.33,3006.83,5247.83,60.00,25.50,14.33,0.00,0.00
8.83,0.00,959193.33,3497530.67,11552.00,426529.33,47.17,131.33,125.17,417.17,3195.17,5979.83,60.50,25.17,14.33,0.00,0.00
7.83,0.00,959108.00,3915440.67,12013.33,424126.67,45.17,131.33,97.17,323.17,3418.50,6590.33,56.33,29.17,14.33,0.00,0.00
8.83,0.17,958894.67,3896064.00,12396.67,428032.67,71.83,131.33,90.50,649.17,3241.50,6007.67,57.17,28.50,14.33,0.00,0.00
7.83,0.00,957956.00,4755056.67,12650.67,428410.00,59.83,131.17,95.67,281.67,17321.17,42369.33,38.50,46.50,14.83,0.00,0.00
7.83,0.00,931434.67,4008266.00,12882.67,429363.33,35.17,132.00,113.17,271.17,13055.67,53044.67,40.17,45.17,14.50,0.00,0.00
7.83,0.00,931178.67,4334317.33,13256.00,432730.00,63.83,132.00,129.17,391.17,14906.17,55454.00,40.50,44.83,14.50,0.00,0.00
10.67,0.50,968155.33,785218.67,5798.00,253097.33,440.50,14735.17,28239.17,14890.50,10797.33,31709.83,33.83,50.50,14.83,0.17,0.00
11.17,0.50,1052602.00,369913.33,4084.00,250355.33,1104.50,41330.67,47233.50,41655.17,8185.50,27642.50,28.50,55.83,14.50,0.83,0.00
9.67,3.50,1171800.00,128591.33,2681.33,191448.67,1015.50,73570.67,34275.00,73963.33,8076.50,8098.50,32.00,52.67,14.33,0.83,0.00
9.83,0.50,1057136.00,6457962.00,6292.67,319299.33,14029.33,162.83,32196.50,290.00,7672.00,13438.17,50.33,34.67,14.50,0.50,0.00
9.83,0.17,979713.33,6174662.67,8397.33,354076.00,216.83,21980.17,660.33,22326.67,4879.33,7543.00,53.50,32.00,14.33,0.00,0.00
9.83,0.00,976015.33,5566478.67,8982.67,365048.67,116.83,7531.17,163.33,7665.00,4873.00,8506.00,58.17,27.50,14.33,0.00,0.00
9.00,0.00,948468.00,5143459.33,9454.67,373813.33,88.83,135.83,201.50,251.83,3337.50,6049.17,58.33,27.00,14.33,0.00,0.00
8.33,0.17,947998.67,5126438.67,9947.33,374573.33,302.17,135.83,729.33,305.67,3319.67,6758.17,53.83,31.83,14.33,0.00,0.00
8.83,0.17,946932.00,5015876.67,10344.00,390307.33,1300.83,135.83,3045.00,419.00,4079.67,7292.33,51.67,34.00,14.33,0.00,0.00
8.50,0.00,945737.33,3614524.67,10809.33,400202.67,68.83,135.67,413.17,260.33,23701.17,55862.33,35.00,50.17,14.83,0.00,0.00
8.50,0.00,928903.33,3652418.00,11105.33,398676.67,70.83,137.00,90.67,523.67,4311.50,8664.67,55.33,30.33,14.33,0.00,0.00
9.17,0.50,928612.00,3950031.33,11493.33,400894.67,48.67,137.00,90.00,280.83,4095.50,7239.50,47.83,37.83,14.33,0.00,0.00
8.17,0.00,928212.67,4093774.67,11885.33,402310.67,53.33,136.83,80.67,656.17,20502.33,55825.33,35.67,49.83,14.50,0.00,0.00
9.00,0.00,926443.33,4581348.67,12209.33,402886.00,3857.33,136.83,3925.50,306.67,4034.83,6796.67,48.50,37.33,14.33,0.00,0.00
9.83,0.00,908360.00,4684242.00,12530.00,399185.33,30.67,138.00,95.83,273.33,3722.83,6944.33,47.83,38.00,14.33,0.00,0.00
9.83,0.00,908360.00,4050562.00,12833.33,400182.00,38.00,138.00,57.83,276.50,3084.33,6266.33,49.67,36.17,14.33,0.00,0.00
11.33,0.50,1024699.33,169454.67,4840.00,247989.33,13620.00,59988.00,49933.50,60127.83,7586.33,9126.17,29.67,55.67,14.67,0.17,0.00
11.83,0.33,1036744.00,621078.67,4759.33,272959.33,1683.00,36380.67,30195.17,36526.50,5898.00,8407.67,31.17,54.67,14.50,0.33,0.00
9.33,0.17,1032497.33,3319793.33,7461.33,333404.67,14070.50,141.50,35970.33,286.17,7138.33,12311.83,38.67,47.00,14.50,0.17,0.00
6.00,0.17,1030577.33,6314858.00,8872.67,384093.33,86.00,178.17,227.50,293.33,3851.67,7520.33,47.83,36.67,15.00,0.17,0.00
6.00,0.50,1013685.33,6070118.67,9280.67,388053.33,348.00,21986.67,698.33,22132.67,3781.33,5621.50,36.50,49.00,14.83,0.00,0.00
6.33,0.33,1039876.67,5766999.33,9701.33,391330.67,165.33,67884.33,438.67,68006.83,4621.00,6945.50,28.17,57.17,15.00,0.00,0.00
6.00,0.00,940764.00,5089768.67,10101.33,394290.67,57.33,143.17,91.17,283.67,3557.33,6630.33,42.83,42.83,14.83,0.00,0.00
