ipc,context_switches(K/sec),cpu_migrations(/sec),page_faults(/sec),branches(M/sec),branch_misses(%),L1_dcache_loads(M/sec),L1_dcache_load_misses(%),r (procs),b (procs),Swap (KB),Free (KB),Buffers (KB),Cached (KB),si (KB/s),so (KB/s),bi (blocks/s),bo (blocks/s),in (interrupts/s),cs (context switches/s),us (%),sy (%),id (%),wa (%),st (%),avg-latency(ms)
0.53,8.878,75.988,25047.04,206.187,2.16,289.029,12.9,7.8,0.4,1480723.2,2315052.8,29892.8,254383.2,36050.4,56325.6,55501.8,75384.8,20589.2,33845.2,15.2,79.0,2.2,3.4,0.0,0.529001
0.56,10.969,34.219,53779.456,213.174,2.25,284.123,15.05,8.4,0.0,1393564.8,4821034.4,62754.4,326192.8,5872.0,1456.0,14483.0,29984.8,20266.6,42169.8,22.4,73.0,3.6,1.2,0.0,0.504537
0.56,11.341,37.427,49800.192,215.541,2.21,282.852,15.52,7.2,0.0,1358646.4,4962477.6,118053.6,377175.2,1584.0,0.0,2867.2,30176.0,23435.0,45730.2,19.0,73.6,6.4,1.0,0.0,0.413377
0.8,11.719,34.196,33596.416,222.686,2.3,487.384,8.7,10.0,0.6,1352502.4,2776369.6,133126.4,386963.2,1429.6,0.0,2451.0,27593.6,20309.6,45337.6,32.4,63.2,3.8,1.0,0.0,0.389722
0.56,12.721,39.674,60329.984,232.463,2.15,304.891,15.61,5.8,0.4,1314358.4,4450791.2,137663.2,396662.4,68.0,0.0,68.8,31068.8,21570.8,50422.0,18.4,76.2,4.8,0.6,0.0,0.33134
0.57,12.245,41.16,61817.856,237.459,2.16,308.126,15.56,7.6,0.4,1312412.8,4108472.0,139137.6,413528.8,126.4,0.0,126.4,32228.0,22472.4,50053.8,15.6,80.2,3.8,0.2,0.0,0.315676
0.54,11.907,37.399,56781.824,198.133,2.43,293.88,15.44,6.2,0.0,1310620.8,4193370.4,139681.6,408733.6,82.4,0.0,143.8,30244.0,22452.2,48364.2,21.6,72.4,5.2,1.0,0.0,0.347396
0.53,12.731,27.27,51813.376,206.651,2.42,290.754,16.15,7.6,0.0,1309648.0,4109072.8,139844.8,419334.4,37.6,0.0,37.6,30352.8,22857.2,50634.2,17.0,79.0,4.0,0.6,0.0,0.319355
0.94,12.784,33.059,34725.888,201.176,2.34,627.403,6.5,7.6,0.0,1309136.0,3207388.0,139976.8,426172.0,19.2,0.0,78.4,32059.2,21428.6,51452.4,28.8,66.6,3.8,0.8,0.0,0.39913
0.7,11.685,41.433,48531.456,176.066,2.78,456.261,9.5,8.0,0.4,1303504.0,3274947.2,140092.8,435354.4,965.6,0.0,1488.8,30828.8,21735.4,43854.8,22.2,73.4,4.2,0.8,0.0,0.360722
0.79,12.322,33.725,47482.88,183.906,2.56,559.515,7.92,6.6,0.0,1302787.2,3365004.8,140116.8,435756.0,35.2,0.0,35.2,32597.6,20409.0,48204.6,28.6,66.8,4.0,0.4,0.0,0.377732
0.78,13.517,50.006,36216.832,164.096,2.96,539.516,7.9,8.2,0.0,1302070.4,3159234.4,140358.4,440900.0,28.8,0.0,28.8,32768.0,23844.0,56030.4,23.6,71.0,4.6,0.6,0.0,0.375601
0.72,12.104,42.373,36473.856,232.127,2.12,460.078,8.88,6.0,0.2,1600800.0,3911400.8,140380.0,444648.0,12.0,87727.2,12.0,115908.8,20770.0,49015.0,22.6,72.0,4.4,1.4,0.0,0.400827
0.92,12.823,37.395,35974.144,253.754,1.96,592.228,7.12,7.0,0.0,1300656.8,4073363.2,140405.6,447985.6,24.0,0.0,24.0,32683.2,22087.4,50348.8,28.6,66.2,4.4,1.0,0.0,0.325308
0.88,13.378,37.651,34694.144,228.617,1.92,541.129,7.54,8.4,0.0,1298642.4,4111916.0,140560.0,458468.0,6.4,0.0,6.4,31624.0,22872.8,51061.4,27.0,66.4,5.4,1.2,0.0,0.428023
0.74,11.926,45.048,24225.792,258.508,1.98,453.256,8.78,8.6,0.0,1696631.2,4483467.2,140628.8,471626.4,2028.8,107768.0,4523.2,133195.2,20866.4,46677.2,21.0,73.8,4.0,1.2,0.0,0.340028
0.84,12.091,30.205,28289.024,231.944,2.12,505.869,8.25,6.6,0.0,1287244.0,4986100.0,140844.0,486101.6,40.0,0.0,49.6,30872.0,23938.4,48603.2,22.2,72.6,4.2,0.8,0.0,0.324044
0.88,10.55,43.851,16610.304,268.165,1.73,529.638,6.47,5.6,0.0,1662876.0,4556502.4,141167.2,495605.6,35.2,162296.0,172.0,185427.2,19102.8,39244.0,25.0,68.6,4.6,2.0,0.0,0.451535
0.96,13.584,26.525,28109.824,300.847,1.67,604.35,6.95,8.8,0.2,1285622.4,5035840.0,141178.4,501036.8,28.8,0.0,28.8,31205.6,23413.6,55389.4,25.0,67.8,6.2,1.0,0.0,0.373268
1.05,12.685,35.648,23790.592,338.856,1.42,683.532,6.05,5.2,0.2,1284886.4,5023485.6,141190.4,502189.6,53.6,0.0,53.6,30883.2,23376.8,51952.2,28.0,67.0,4.4,1.0,0.0,0.347583
1.03,13.153,35.179,21030.912,352.958,1.38,696.309,6.17,7.0,0.2,1284661.6,4898520.0,141192.0,505243.2,11.2,0.0,11.2,31551.2,22408.2,53028.8,25.2,68.4,5.8,0.4,0.0,0.308668
1.11,9.438,55.091,14825.472,345.422,1.19,674.704,4.96,5.6,0.6,1569668.0,5101840.8,141196.8,508934.4,25.6,152231.2,25.6,173935.2,17980.6,35717.0,28.8,63.4,5.8,2.4,0.0,0.531384
1.22,11.496,39.799,15203.328,345.25,1.24,820.824,4.67,5.8,0.0,1284940.0,5230861.6,141208.8,516599.2,8.0,0.0,8.0,28272.8,20118.2,46545.4,35.8,58.0,6.0,1.0,0.0,0.422889
0.99,11.241,60.562,12659.712,302.76,1.52,624.551,6.08,6.8,0.2,1358712.8,5468712.8,141212.8,524696.0,10.4,53562.4,11.2,80266.4,21907.0,46594.8,23.0,71.2,4.8,1.0,0.0,0.376919
