ipc,context_switches(K/sec),cpu_migrations(/sec),page_faults(/sec),branches(M/sec),branch_misses(%),L1_dcache_loads(M/sec),L1_dcache_load_misses(%),Swap Space,Idle Memory,Buffer,Cache,Swap In,Swap Out,blocks in,blocks out,Interrupts per second,Context Switches per second,User CPU time,System CPU time,avg latency
0.99,2.463,14.192,13924.352,346.347,0.75,419.802,11.6,1696990,4077281.33,11101.33,416069.33,40,131199.17,51.83,131295,5688.83,8580.5,28.17,56.17,0.28
1.35,1.753,2.622,14203.904,515.626,0.5,425.076,12.28,964852,6068856,8982,399018,152.67,98.33,1059.33,232.67,3514.17,6317,53.33,31.67,0.28
1.23,2.082,4.327,25177.088,368.092,0.79,566.177,8.26,931900,4434351.33,10772,421640,32.17,124.5,94.83,306.33,4222,7565.83,56,29.67,0.28
1.17,2.092,5.745,17654.784,320.811,0.95,465.912,9.67,946932,5015876.67,10344,390307.33,1300.83,135.83,3045,419,4079.67,7292.33,51.67,34,0.28
1.08,1.708,7.156,14838.784,357.725,0.7,426.817,11.74,1013685.33,6070118.67,9280.67,388053.33,348,21986.67,698.33,22132.67,3781.33,5621.5,36.5,49,0.28
0.78,16.392,4.786,31640.576,238.326,1.29,289.265,16.55,859618,3515946.67,9201.33,360153.33,57.17,169,111,347.5,20495,53774.83,32.67,52.83,0.28
1.11,2.287,4.617,14887.936,332.859,0.89,488.723,10.63,897572,5019466.67,10696,449202,76.17,199.67,154.83,330.83,4057.33,8371.5,47.5,38.83,0.28
1.14,1.759,10.149,11708.416,407.227,0.69,476.237,11.29,931830,6105570,9564,399381.33,533,22063,3624.5,22240.83,3739.17,6009.83,39.5,46.33,0.28
1.09,1.99,15.224,8775.68,317.057,0.91,477.989,10.45,974401.33,4853266,5589.33,399672,638.83,26843.17,1167.17,27024.33,4200.5,6601.67,40,46.17,0.28
0.98,1.735,4.12,27512.832,392.139,0.81,424.153,15.36,861420.67,3269128,8120,413014,58.83,228.33,145.5,373,3215.5,6201.5,39.67,47,0.28
0.83,21.772,5.996,56990.72,270.018,0.78,329.866,14.95,941522.67,3214310,14043.33,420651.33,8414.67,108.83,8452.33,266.5,7851.17,66301.33,32.33,51.17,0.27
0.68,1.462,4.994,778.017,234.573,1.09,263.99,14.56,1038288.67,6483863.33,6213.33,339372.67,687.5,154.33,18992.17,302.17,3434.5,5683.33,62.5,22.67,0.27
0.94,1.947,6.829,48701.44,310.745,0.93,357.676,14.51,921249.33,3807694,12989.33,425639.33,42.83,127,92.67,257.5,3163.33,6862.5,51.17,34.17,0.27
1.15,2.051,12.761,14107.648,407.256,0.54,491.718,9.79,1550065.33,4398010,11197.33,419700.67,707.33,150403.17,844.5,150930.5,5289,7601.17,25.67,59.33,0.27
1.22,1.65,5.495,22864.896,315.319,0.65,660.616,7.95,923704.67,2412842,12922.67,430750.67,48.5,149.67,123.17,514.83,3295.67,5750.67,38.5,46.67,0.27
1.19,2.169,2.997,21481.472,378.236,0.7,545.757,9.18,967115.33,4753245.33,19594.67,1014190.67,113.5,14656,289.83,14817.17,4156.17,8142.5,44.33,41.33,0.27
0.97,1.604,4.121,48178.176,373.535,0.83,406.923,14.67,855292,3462892,22716,1039950,194.83,161.83,413.5,403.5,3040.83,5389.5,44.17,41.5,0.27
1.25,1.337,4.699,8471.552,435.409,0.72,671.526,8.6,859508,5514934,10896,364270.67,32.33,170.17,56.17,312.67,2752.33,4765.83,54.5,31.83,0.27
0.87,2.678,16.951,11628.544,291.762,0.91,316.497,12.72,1313778.67,102607.33,7490,332972,10553,127180.33,12737.67,127374.17,10368.67,8378.33,17.67,67.17,0.27
1.19,1.979,2.873,14336,365.195,0.72,543.66,9.45,938814.67,5620131.33,9597.33,365636.67,195.67,188.5,826.67,319.5,3202,6788.17,47.67,38.83,0.27
0.86,2.599,19.049,20627.456,268.374,1.25,294.96,13.57,929448,603171.33,5148.67,241159.33,1077.17,22179.33,27904.83,22349.17,6165.17,8346.17,27.17,59,0.27
1.14,2.365,4.539,17588.224,354.686,0.83,552.967,9.92,890670.67,4688410.67,11040,412638.67,77.5,218.83,157.33,322,4334.5,8308.17,46.33,39.5,0.27
1.01,1.628,6.363,30344.192,365.256,0.81,470.177,13.16,885321.33,4330522.67,12002.67,430378.67,740.83,219,961,332.33,3192.67,5774.17,36.67,49.67,0.27
1.23,2.303,3.994,838.753,456.065,0.7,709.134,8.54,708720,5037973.33,25306.67,647998.67,10.67,55,30.17,246.67,4033.67,8205.5,46.83,37.5,0.26
0.88,2.406,16.176,22668.288,294.519,0.95,322.898,13.83,931850,645720.67,5638,265772,1884.67,28363.83,20526.5,28518.17,5626,8695,28.17,56.5,0.26
1.12,2.095,5.533,13031.424,309.338,0.78,534.996,9.71,938174.67,3762618.67,11535.33,389293.33,933.33,66.33,980.33,202,4056.67,7401.5,35.5,48.67,0.26
1.15,2.538,4.747,15933.44,359.421,0.97,513.142,9.13,991344,6131224.67,9353.33,378976,5212.33,88.17,7521,237.17,5162.83,9347.5,56,29,0.26
1.21,2.076,4.913,25860.096,358.435,0.58,554.202,7.72,1520104.67,4591795.33,10978.67,440972,937.33,75668.67,1015.17,75841.17,3779.33,7175.83,34.33,50,0.26
