ipc,context_switches(K/sec),cpu_migrations(/sec),page_faults(/sec),branches(M/sec),branch_misses(%),L1_dcache_loads(M/sec),L1_dcache_load_misses(%)
1.00,10.097,23.282,24529.92,296.703,1.61,517.019,7.88
0.94,8.602,35.880,17032.192,314.201,1.44,485.807,8.06
1.05,10.181,21.928,16010.24,341.348,1.44,619.409,6.79
1.16,11.018,27.424,6937.6,352.782,1.39,706.612,5.90
1.11,11.174,30.227,6857.728,329.615,1.43,667.254,5.98
1.01,9.237,25.305,20399.104,361.503,1.30,443.789,8.95
1.01,10.009,26.805,20079.616,339.735,1.32,458.994,8.58
0.69,7.488,36.721,20304.896,262.378,1.93,353.065,10.17
0.69,8.252,38.652,23761.92,261.515,1.87,349.455,11.11
0.68,11.989,29.016,36284.416,259.157,2.03,338.667,14.58
0.66,9.470,26.232,35414.016,240.336,1.91,316.476,14.54
0.74,10.934,25.815,28583.936,272.062,1.74,353.758,12.99
0.68,9.680,33.022,28802.048,267.686,1.89,349.406,12.66
0.72,8.316,35.775,21593.088,272.163,2.01,359.172,11.34
0.70,8.764,39.181,17708.032,266.820,1.86,348.582,11.82
0.70,9.371,38.360,15032.32,268.028,1.85,349.249,11.84
0.68,10.752,27.926,34793.472,243.854,1.96,317.445,13.19
0.67,10.904,27.872,41404.416,242.942,2.11,314.566,14.03
0.64,10.829,25.416,39825.408,221.036,2.24,286.427,14.99
0.81,10.369,30.732,23498.752,216.602,2.19,419.565,9.81
0.67,10.926,29.624,41166.848,219.784,2.23,332.199,13.54
0.83,11.281,36.238,23218.176,225.692,2.12,437.218,9.23
0.88,11.550,25.150,25076.736,218.400,2.26,513.231,8.03
0.91,10.143,33.805,23491.584,215.643,2.18,521.832,7.54
0.88,10.291,35.059,22091.776,211.183,2.32,496.216,7.79
0.89,11.973,30.840,18843.648,222.975,2.21,489.026,8.10
0.93,10.587,27.021,25140.224,265.343,1.84,491.591,8.40
0.94,11.306,30.150,25563.136,293.324,1.77,516.434,8.30
0.97,10.992,33.257,22308.864,292.888,1.70,529.696,7.89
1.04,10.618,30.764,18612.224,346.883,1.49,615.63,7.10
1.10,12.285,34.051,10691.584,346.907,1.39,694.132,6.06
1.20,10.400,29.089,6164.48,345.978,1.37,755.441,5.23
1.00,10.570,29.763,20526.08,320.259,1.51,565.177,7.37
1.00,10.433,40.840,14007.296,299.264,1.60,535.065,7.23
0.94,10.832,39.318,17967.104,315.097,1.53,460.365,8.52
0.60,10.392,33.645,34140.16,239.584,1.94,320.602,13.98
0.61,8.901,36.051,12691.456,226.684,1.97,316.715,11.82
0.68,10.152,26.694,20312.064,247.706,1.90,325.026,13.68
0.61,11.260,22.311,45219.84,223.221,2.05,288.24,15.32
0.59,10.942,24.694,52649.984,218.390,2.24,284.172,16.00
0.63,12.705,28.320,43912.192,242.572,1.99,313.012,14.18
0.61,11.162,22.679,44360.704,228.253,2.11,297.936,14.78
0.60,11.959,30.104,51781.632,215.055,2.29,305.306,14.75
0.58,10.809,30.980,48970.752,211.531,2.18,274.238,15.51
0.74,11.212,21.025,26140.672,188.833,2.42,383.572,10.11
0.62,12.748,23.646,48818.176,205.221,2.42,313.092,13.90
0.70,10.437,25.023,43500.544,184.044,2.47,378.883,10.97
0.70,11.634,29.353,41139.2,182.514,2.51,394.412,10.58
0.89,12.875,35.355,16025.6,191.131,2.48,555.204,7.08
0.88,11.624,24.775,29152.256,207.434,2.40,542.091,7.60
0.86,12.812,32.524,29686.784,222.422,2.24,557.89,7.60
0.78,10.737,36.931,21425.152,259.774,1.84,456.22,8.27
0.86,13.572,26.528,21909.504,238.804,2.26,523.983,7.75
0.89,8.577,37.978,17809.408,248.287,1.87,515.532,6.99
0.95,12.440,22.725,29030.4,267.927,1.72,504.068,7.87
0.97,12.016,34.185,24807.424,287.584,1.62,525.892,7.43
1.08,12.041,26.023,21785.6,349.288,1.36,645.912,6.32
1.15,10.434,25.958,12681.216,337.455,1.28,728.603,5.26
1.21,10.511,21.975,6988.8,353.098,1.31,805.708,4.76
1.09,11.161,23.653,16867.328,341.976,1.43,742.291,5.61
0.99,10.509,31.909,24842.24,334.848,1.28,489.558,7.76
1.09,10.973,28.670,17949.696,362.477,1.25,546.12,6.91
0.83,12.092,29.645,17079.296,290.770,1.75,447.189,8.89
0.54,7.969,78.740,10682.368,226.359,2.58,315.503,9.50
0.59,10.508,41.125,27494.4,258.590,1.95,341.169,12.22
0.56,11.916,35.801,58798.08,220.716,2.26,289.158,16.00
0.56,13.403,37.789,45552.64,225.046,2.14,296.897,15.47
0.75,10.469,32.380,27406.336,211.800,2.31,436.426,9.24
0.52,10.080,40.000,48614.4,194.552,2.36,253.634,17.13
0.55,10.762,25.856,58385.408,201.272,2.30,265.692,16.31
0.53,12.085,41.666,54951.936,204.845,2.38,267.827,16.73
0.71,12.635,42.854,29290.496,195.279,2.52,420.312,10.17
0.62,12.402,31.014,52237.312,193.221,2.78,359.624,12.09
0.62,13.904,33.694,48771.072,185.528,2.62,380.977,11.67
0.65,13.186,45.692,39708.672,192.237,2.61,423.155,10.83
0.89,11.750,27.058,33039.36,195.111,2.38,575.485,6.69
0.84,10.800,40.542,27270.144,183.479,2.51,525.453,7.22
0.75,10.907,20.898,35182.592,143.500,3.03,450.951,8.22
0.88,13.069,24.414,35617.792,237.697,1.95,547.687,7.39
0.71,10.152,39.032,24660.992,239.885,1.93,440.037,8.22
0.85,10.007,48.022,21018.624,215.269,2.09,488.121,7.00
0.96,13.470,27.649,27479.04,268.213,1.75,577.244,6.92
1.03,12.364,26.817,27817.984,312.319,1.46,591.347,6.45
1.11,12.790,23.008,24707.072,360.864,1.29,730.805,5.56
1.17,12.219,21.592,18238.464,367.125,1.20,815.254,4.97
1.16,13.200,24.266,11479.04,345.886,1.31,790.565,4.89
1.08,11.020,25.347,9342.976,335.045,1.36,681.108,5.24
