ipc,context_switches(K/sec),cpu_migrations(/sec),page_faults(/sec),branches(M/sec),branch_misses(%),L1_dcache_loads(M/sec),L1_dcache_load_misses(%)
1.25,5.445,31.527,25687.04,249.141,0.81,516.008,4.56
1.25,5.237,18.648,23629.824,259.980,0.82,499.559,4.81
1.50,5.502,22.886,13041.664,300.690,0.64,654.986,3.42
1.48,5.082,19.066,9528.32,293.155,0.72,660.189,3.37
1.32,5.021,24.360,19362.816,257.885,0.85,562.338,4.21
1.26,4.824,25.606,27543.552,286.568,0.76,475.247,5.09
1.06,4.405,35.907,16201.728,218.878,0.95,310.2,6.34
0.26,6.052,21.902,8598.528,96.596,2.11,125.478,11.68
0.54,3.073,90.980,22099.968,128.478,1.43,176.736,9.16
0.61,4.810,53.241,28713.984,147.313,1.47,195.906,12.13
0.70,4.932,41.135,27894.784,172.738,1.24,226.784,11.04
0.66,5.051,35.384,50426.88,168.869,1.11,211.209,13.89
0.80,5.367,30.449,33138.688,172.661,1.11,273.408,10.55
0.64,5.474,32.506,56983.552,167.161,1.10,205.779,14.47
0.65,3.908,59.215,35535.872,187.641,1.12,235.909,10.58
0.65,5.582,39.248,54404.096,172.447,1.15,213.006,13.86
0.66,4.868,43.734,61821.952,176.653,1.16,216.087,14.22
0.69,5.755,40.587,61634.56,161.378,1.31,255.135,10.98
0.73,5.679,35.089,57622.528,152.697,1.30,281.664,9.66
0.63,5.597,22.965,54343.68,155.508,1.32,203.996,12.97
0.79,5.738,17.613,51633.152,128.695,1.56,319.336,8.17
0.68,4.840,22.718,43049.984,127.139,1.34,209.647,11.03
0.76,5.001,31.731,41136.128,111.637,1.84,274.966,8.38
0.96,5.652,23.061,43908.096,134.237,1.42,420.296,5.69
0.93,3.324,46.418,20826.112,171.808,1.11,331.832,5.38
1.01,5.562,25.069,39230.464,163.473,1.15,409.792,5.78
1.02,5.336,20.385,40202.24,177.411,1.18,398.222,6.01
1.12,5.640,18.759,35054.592,211.690,0.90,415.38,5.52
1.28,5.218,22.340,31514.624,232.653,0.80,518.86,4.27
1.34,5.556,16.513,27588.608,263.521,0.75,546.73,4.08
1.41,5.607,17.312,24733.696,284.976,0.68,618.722,3.69
1.60,5.492,21.732,14928.896,300.933,0.55,733.301,2.89
1.54,4.840,23.827,14473.216,280.248,0.69,648.79,3.13
1.29,5.266,23.812,31006.72,290.722,0.62,464.752,4.89
1.19,5.598,18.591,37617.664,322.425,0.61,331.14,7.08
1.03,4.580,51.923,24086.528,228.484,0.85,334.245,5.88
0.59,5.501,25.969,5978.112,166.609,1.76,214.102,11.48
0.73,4.259,36.241,48803.84,190.964,1.43,243.023,13.05
0.74,4.179,35.399,40151.04,195.634,1.37,246.954,12.74
0.73,4.159,26.179,46846.976,198.237,1.29,244.31,13.97
0.85,3.520,27.085,13304.832,208.843,1.44,269.078,10.43
0.82,4.976,20.764,42541.056,230.596,1.20,292.654,12.02
0.77,4.672,31.968,35335.168,200.130,1.39,253.41,13.03
0.84,4.950,24.428,40265.728,233.506,1.25,295.852,11.83
0.81,4.065,30.754,31875.072,213.401,1.25,264.905,11.59
0.81,4.777,26.817,41042.944,218.241,1.33,273.777,12.40
0.80,5.022,26.470,37588.992,215.355,1.34,267.278,12.73
0.80,4.714,23.068,39099.392,215.242,1.27,272.004,12.64
0.83,5.057,25.092,39903.232,220.260,1.31,278.266,12.27
0.81,5.164,28.213,40719.36,217.815,1.30,271.213,12.51
0.83,4.530,25.317,26778.624,205.097,1.30,254.591,12.27
0.79,4.894,25.606,40753.152,202.164,1.37,261.011,12.13
0.82,4.917,27.979,39826.432,203.517,1.39,290.646,11.11
0.94,4.703,27.672,21552.128,182.075,1.47,345.014,8.23
0.88,3.724,33.727,18340.864,191.507,1.41,300.769,8.30
0.80,3.933,32.842,21830.656,194.125,1.36,257.045,10.53
0.97,4.926,28.103,28216.32,171.798,1.52,390.882,7.33
0.97,5.170,28.599,25781.248,193.546,1.39,400.963,7.22
0.93,3.980,29.725,11361.28,217.275,1.31,340.168,7.47
0.91,3.376,37.815,12880.896,191.031,1.33,292.902,7.87
1.23,4.972,24.462,13032.448,274.072,0.99,508.728,5.52
1.26,4.543,27.213,10294.272,270.785,0.92,523.299,5.04
1.31,4.797,26.015,10758.144,297.501,0.88,596.604,4.68
1.19,4.516,28.139,13566.976,264.913,0.99,462.355,5.70
1.03,4.078,32.066,16980.992,265.501,0.99,302.471,8.18
0.50,5.110,29.753,6303.744,147.792,1.75,186.938,11.38
0.68,4.432,33.213,34870.272,188.883,1.38,245.613,12.12
0.71,4.340,32.487,40074.24,192.605,1.40,246.161,11.78
0.66,4.478,20.954,51302.4,172.992,1.48,215.586,14.26
0.80,4.789,20.593,41639.936,218.995,1.22,281.358,12.13
0.79,4.731,23.901,37974.016,200.417,1.22,253.685,12.16
0.82,4.503,21.579,32340.992,228.272,1.23,289.29,11.61
0.82,5.259,20.942,35974.144,220.492,1.32,284.327,11.42
0.79,4.665,27.440,34563.072,187.283,1.25,238.516,12.20
0.74,4.288,20.852,37850.112,175.266,1.46,219.657,12.91
0.77,5.053,24.337,42991.616,203.200,1.30,253.891,12.59
0.77,5.000,26.032,47031.296,207.422,1.28,258.874,13.02
0.77,5.051,27.539,38641.664,194.574,1.28,242.479,12.58
0.76,4.697,25.590,36467.712,190.426,1.25,234.996,12.06
0.86,4.946,25.183,22070.272,177.223,1.37,273.082,10.11
0.77,5.281,22.703,41892.864,200.419,1.37,250.146,12.16
1.06,5.071,20.276,17982.464,164.074,1.49,443.872,5.77
1.04,5.311,21.485,34477.056,184.074,1.41,461.039,6.31
0.86,5.189,24.968,34118.656,157.954,1.59,322.735,8.51
0.96,4.741,25.421,26903.552,146.752,1.66,371.434,6.78
1.02,5.473,25.917,30488.576,200.232,1.33,425.868,6.64
1.01,4.040,31.329,11286.528,236.712,1.11,367.022,6.66
1.02,5.241,25.605,25790.464,200.360,1.25,372.263,7.04
1.21,4.524,28.965,14985.216,226.083,0.99,428.844,5.32
1.01,4.091,27.138,17991.68,231.160,1.10,367.591,6.59
1.05,4.298,34.838,11697.152,243.138,1.03,403.959,5.78
1.32,4.750,39.710,8081.408,266.642,0.91,571.18,4.28
1.22,4.893,29.534,22361.088,304.759,0.81,449.293,5.83
1.02,4.082,38.439,15321.088,235.964,0.97,296.08,7.28
0.39,6.212,24.026,8882.176,125.175,2.02,161.576,11.79
0.62,4.128,66.995,44296.192,157.411,1.64,203.647,12.15
0.69,4.213,36.436,28833.792,170.663,1.20,222.868,11.95
0.68,4.486,33.314,34368.512,177.023,1.69,227.671,11.89
0.73,4.928,20.679,48794.624,191.844,1.11,242.773,12.66
