ipc,context_switches(K/sec),cpu_migrations(/sec),page_faults(/sec),branches(M/sec),branch_misses(%),L1_dcache_loads(M/sec),L1_dcache_load_misses(%)
1.16,1.964,3.539,16037.888,342.840,0.85,590.127,8.97
1.14,2.260,5.119,15406.08,325.150,0.90,602.187,9.27
1.00,2.101,3.622,37007.36,339.728,0.86,452.677,12.91
0.92,1.658,4.413,40852.48,354.175,0.84,373.186,16.12
0.96,1.285,2.374,43803.648,370.241,0.82,390.952,15.96
0.97,1.980,2.998,40499.2,346.795,0.89,387.34,14.03
1.00,1.502,3.956,34916.352,397.912,0.79,433.277,14.75
0.80,3.778,17.948,5359.616,218.959,1.55,256.801,12.79
0.94,1.595,4.326,36878.336,363.076,0.81,389.479,15.67
0.86,2.432,25.010,7383.04,243.038,1.35,269.934,11.97
0.81,2.040,4.823,727.526,281.499,1.02,303.575,15.36
1.19,2.465,5.246,11551.744,439.302,0.71,512.694,10.68
1.28,2.138,4.446,5224.448,423.931,0.69,677.842,8.06
1.23,3.307,4.617,12035.072,435.557,0.74,625.869,9.09
1.14,2.006,5.331,19873.792,396.377,0.80,527.908,10.64
1.17,2.093,3.953,12136.448,356.361,0.86,558.819,9.68
1.11,1.612,4.620,20792.32,346.306,0.98,576.484,9.93
1.01,1.986,10.773,27837.44,298.594,0.94,426.342,12.11
0.94,2.153,5.483,35431.424,362.919,0.89,389.908,15.73
0.94,1.862,4.745,36247.552,343.577,0.91,368.414,15.74
0.95,2.193,16.399,15318.016,321.718,0.92,356.245,13.72
0.99,1.799,9.355,28241.92,385.414,0.85,430.781,14.39
1.03,1.964,8.767,15678.464,408.037,0.79,455.364,13.93
0.92,2.731,17.052,15495.168,310.757,1.54,376.163,11.77
0.90,2.713,16.686,24577.024,304.877,1.20,339.277,13.41
0.92,2.596,14.893,21617.664,308.055,1.46,346.377,12.68
0.85,2.164,6.200,964.27,339.322,0.98,357.613,15.61
1.14,2.303,6.704,10438.656,411.000,0.70,434.866,11.77
1.20,2.042,3.747,6060.032,372.943,0.73,552.112,8.96
1.07,2.363,16.041,8925.184,349.593,0.85,424.052,10.87
1.11,2.287,4.617,14887.936,332.859,0.89,488.723,10.63
1.11,2.197,4.073,17112.064,356.852,0.89,559.597,10.56
1.03,2.242,4.698,24036.352,338.131,0.89,464.089,12.24
0.78,17.245,4.121,30758.912,202.855,1.27,307.611,13.92
0.96,2.170,3.747,28551.168,371.656,0.85,402.799,15.24
0.97,1.999,4.243,27339.776,353.995,0.85,385.239,15.16
0.97,2.271,9.194,25743.36,367.083,0.86,401.801,14.54
0.95,2.285,21.310,10955.776,315.299,0.90,349.574,14.19
1.01,2.070,4.248,24112.128,387.338,0.79,426.096,14.52
0.90,2.090,15.046,23232.512,293.653,0.91,322.564,14.72
0.91,2.306,18.427,20675.584,306.126,1.24,336.672,12.91
0.86,2.599,19.049,20627.456,268.374,1.25,294.96,13.57
0.67,2.610,6.407,935.473,281.135,0.79,276.927,17.67
1.11,1.962,5.870,20537.344,423.397,0.55,507.767,11.45
1.18,1.808,4.495,18000.896,466.579,0.52,596.725,10.24
1.37,1.504,7.782,2277.376,475.508,0.61,809.852,7.00
1.26,2.185,7.073,19642.368,470.185,0.47,650.324,8.99
0.87,17.097,8.698,22262.784,226.374,0.80,339.718,10.03
1.16,1.980,6.451,19880.96,391.173,0.64,598.684,10.03
1.14,1.893,8.482,14822.4,334.942,0.68,593.162,9.57
1.06,2.069,9.947,21076.992,328.101,0.71,533.251,10.75
1.03,1.656,6.729,19806.208,353.555,0.67,506.244,11.91
0.84,2.394,6.785,41945.088,322.867,0.69,318.317,17.77
0.86,1.910,6.370,41825.28,354.178,0.69,356.023,17.57
0.86,1.940,6.034,45642.752,359.097,0.65,354.497,17.22
0.85,3.287,15.392,17831.936,287.265,0.94,303.658,15.86
0.83,2.406,25.395,8135.68,265.432,1.14,282.218,12.66
0.90,2.338,7.570,33905.664,366.551,0.96,382.254,15.66
0.76,2.155,5.079,664.44,313.297,0.82,315.132,16.52
1.15,1.642,7.994,13580.288,445.616,0.58,511.284,11.25
1.26,2.039,9.601,1679.36,384.433,0.63,607.497,8.22
1.31,1.834,4.955,4091.904,450.746,0.58,719.719,7.90
1.18,1.831,2.949,20166.656,454.571,0.59,565.651,10.88
0.91,20.492,4.162,18769.92,221.404,0.94,383.823,10.07
1.15,2.292,3.412,23956.48,319.721,0.80,562.458,9.06
1.16,2.036,5.202,13304.832,352.821,0.81,603.071,9.59
0.97,1.575,4.581,37525.504,385.182,0.72,448.887,14.73
0.93,2.040,4.618,34479.104,333.371,0.77,386.307,15.11
0.90,1.676,5.783,42876.928,377.277,0.74,379.424,16.96
0.91,2.428,3.373,37911.552,380.375,0.74,392.605,15.90
0.93,2.154,4.453,34708.48,382.841,0.72,402.323,16.22
0.90,2.622,16.496,13005.824,305.291,1.11,339.982,14.07
0.88,2.501,25.029,11054.08,276.949,1.18,303.055,12.32
0.87,2.398,25.225,10113.024,268.712,1.17,293.07,12.41
0.79,2.399,7.118,1162.24,309.266,0.98,327.406,15.65
1.14,1.759,10.149,11708.416,407.227,0.69,476.237,11.29
1.25,2.331,4.408,4841.472,412.860,0.67,655.363,8.26
1.13,2.164,15.444,8528.896,358.909,0.72,467.877,10.03
1.10,1.723,5.163,20172.8,395.683,0.71,447.96,12.45
1.14,2.365,4.539,17588.224,354.686,0.83,552.967,9.92
1.11,1.536,5.579,21495.808,352.610,0.81,575.824,10.19
1.01,1.628,6.363,30344.192,365.256,0.81,470.177,13.16
0.93,1.700,4.869,38494.208,370.169,0.82,386.785,16.36
0.91,2.231,6.520,37042.176,362.271,0.86,377.501,16.47
0.98,1.700,4.536,29977.6,391.557,0.76,414.547,15.28
0.93,1.959,5.279,31950.848,352.039,0.79,367.392,16.07
0.96,2.138,5.952,22456.32,370.132,0.77,403.183,14.81
0.88,2.742,19.453,10038.272,280.782,1.25,318.929,12.85
0.87,2.068,16.300,20166.656,300.157,0.83,319.13,15.06
0.89,2.365,23.168,19464.192,293.714,1.19,318.754,13.04
0.81,2.393,8.411,902.351,293.809,1.00,311.604,15.74
1.13,1.948,9.325,10061.824,413.501,0.74,463.102,11.64
1.27,2.852,6.194,1220.608,403.614,0.73,662.141,7.91
1.23,2.179,3.289,7313.408,439.629,0.72,609.121,9.53
1.09,1.990,15.224,8775.68,317.057,0.91,477.989,10.45
1.07,2.208,16.236,8864.768,336.557,0.85,461.365,10.14
1.18,1.532,9.611,12954.624,372.810,0.86,616.387,9.61
0.93,2.318,21.512,12527.616,285.711,0.98,313.742,13.83
0.96,2.410,19.607,10221.568,313.522,0.88,344.522,13.07
0.98,1.791,4.539,28391.424,390.342,0.82,418.258,14.61
0.97,1.936,26.026,13577.216,328.355,0.87,360.789,13.09
0.96,1.624,9.238,29349.888,354.927,0.89,387.668,14.89
0.98,1.735,4.120,27512.832,392.139,0.81,424.153,15.36
0.89,2.892,18.014,14584.832,290.219,1.32,335.97,13.03
0.90,2.130,13.966,30479.36,308.751,0.95,338.916,14.61
0.91,2.545,17.101,22262.784,320.800,1.14,349.631,13.23
