ipc,context_switches(K/sec),cpu_migrations(/sec),page_faults(/sec),branches(M/sec),branch_misses(%),L1_dcache_loads(M/sec),L1_dcache_load_misses(%),r (procs),b (procs),Swap (KB),Free (KB),Buffers (KB),Cached (KB),si (KB/s),so (KB/s),bi (blocks/s),bo (blocks/s),in (interrupts/s),cs (context switches/s),us (%),sy (%),id (%),wa (%),st (%),avg-latency(ms),category
0.84,5.265,15.52,28484.608,216.594,1.28,281.966,11.79,8.2,0.2,813100.0,5667496.8,135015.2,393168.0,18.4,0.0,79.2,18639.2,12079.8,20562.6,41.0,57.2,1.8,0.2,0.0,0.49,1
0.98,5.271,14.562,22189.056,216.986,1.29,390.974,8.24,9.2,0.2,812588.0,5146261.6,135075.2,411826.4,5.6,0.0,6.4,19688.0,12833.8,21824.2,45.4,52.4,2.2,0.4,0.0,0.22,1
1.03,5.061,17.666,20969.472,218.95,1.16,382.665,7.61,7.6,0.2,812588.0,5566016.8,135095.2,411320.0,8.0,0.0,44.0,20513.6,11499.4,20277.2,48.6,48.6,2.4,0.4,0.0,0.42,1
1.12,5.484,17.274,12523.52,267.475,1.02,470.066,6.61,8.4,0.6,812588.0,5782743.2,135118.4,409382.4,4.0,0.0,84.0,21314.4,12957.0,22746.6,46.2,51.2,2.6,0.2,0.0,0.2,1
1.13,4.96,14.301,9835.52,234.799,1.01,437.782,6.16,10.4,0.2,812588.0,6120756.8,135137.6,409386.4,7.2,0.0,21.6,17524.0,12186.2,20336.0,51.2,46.6,2.0,0.2,0.0,0.46,1
0.65,5.381,15.867,1131.52,181.502,1.51,226.44,12.07,7.8,0.2,812351.2,6582952.8,135153.6,415140.8,15.2,21.6,88.8,20039.2,12645.6,21579.2,57.0,40.2,2.2,0.4,0.0,0.18,1
0.83,4.777,18.817,33635.328,217.703,1.16,274.583,12.79,9.2,0.2,810888.0,2716339.2,135160.0,412786.4,609.6,0.0,645.6,18456.8,10867.0,19301.0,40.6,55.2,4.0,0.2,0.0,0.34,1
0.85,5.206,21.722,37010.432,254.95,1.04,322.034,12.61,8.8,0.4,808092.0,2307199.2,135160.0,409002.4,1.6,0.0,20.0,19860.0,12542.4,21377.2,36.6,59.2,3.6,0.6,0.0,0.3,1
0.83,4.668,23.148,31313.92,211.564,1.19,269.492,12.19,7.4,0.4,808092.0,2047628.0,135160.0,413011.2,1.6,0.0,12.0,18419.2,10968.2,19561.8,39.4,57.0,3.6,0.2,0.0,0.14,1
0.73,4.798,19.442,36810.752,198.542,1.38,251.394,13.56,10.6,0.0,807016.8,2803333.6,135168.0,452856.0,771.2,0.0,3467.2,17009.6,11680.6,19429.0,36.4,60.0,3.4,0.2,0.0,0.49,1
0.84,5.181,16.061,38096.896,233.906,1.16,291.784,12.58,8.0,0.2,806556.0,4389912.0,135180.8,449126.4,8.8,0.0,8.8,19325.6,11793.4,20930.4,39.0,56.6,4.0,0.4,0.0,0.25,1
0.82,4.996,22.242,35927.04,214.026,1.15,270.366,12.13,8.0,0.4,806556.0,4624960.8,135184.0,459640.8,11.2,0.0,32.8,20268.0,11526.0,20803.6,37.2,58.6,4.0,0.2,0.0,0.2,1
0.82,5.051,17.652,36379.648,217.557,1.21,272.888,12.54,6.6,0.2,806300.0,4932224.0,135349.6,453053.6,3.2,0.0,104.0,17769.6,11650.8,20305.4,42.6,53.6,3.6,0.6,0.0,0.24,1
0.83,4.768,22.483,33766.4,212.622,1.21,263.495,12.15,8.6,0.0,806300.0,5130096.8,135464.0,457256.0,4.8,0.0,30.4,18994.4,11063.8,19880.4,42.2,52.6,4.4,0.6,0.0,0.38,1
0.92,4.961,20.575,28701.696,207.587,1.26,347.152,9.18,8.2,0.2,806300.0,4983301.6,135468.0,457252.0,6.4,0.0,20.8,18627.2,11628.0,19989.8,43.8,52.2,3.6,0.4,0.0,0.35,1
0.98,4.918,22.97,20876.288,193.908,1.36,404.274,7.37,9.6,0.2,806044.0,4822136.8,135472.0,455666.4,17.6,0.0,98.0,19624.8,12461.4,21787.0,50.2,45.4,3.8,0.4,0.0,0.14,1
1.0,3.825,26.716,9762.816,231.272,1.22,358.401,7.2,6.8,0.6,1177559.2,5276936.0,135611.2,460490.4,36.8,96460.0,54.0,110154.4,11329.0,15722.4,41.6,54.0,3.4,1.0,0.0,0.22,1
1.03,4.19,24.276,12646.4,225.373,1.15,369.739,7.08,8.0,0.2,1058011.2,5710904.8,135616.8,458615.2,4.0,56780.0,19.2,71026.4,10606.2,16498.0,45.4,50.8,3.2,1.0,0.0,0.54,1
1.2,5.149,22.884,15802.368,273.326,0.91,496.21,6.06,8.4,0.4,800660.0,6064651.2,135620.0,463786.4,0.0,0.0,4.0,18080.8,11334.6,20294.6,54.0,40.2,5.0,1.0,0.0,0.27,1
