ipc,context_switches(K/sec),cpu_migrations(/sec),page_faults(/sec),branches(M/sec),branch_misses(%),L1_dcache_loads(M/sec),L1_dcache_load_misses(%),r (procs),b (procs),Swap (KB),Free (KB),Buffers (KB),Cached (KB),si (KB/s),so (KB/s),bi (blocks/s),bo (blocks/s),in (interrupts/s),cs (context switches/s),us (%),sy (%),id (%),wa (%),st (%),avg-latency(ms)
0.89,9.531,38.229,36667.392,193.212,2.32,554.05,6.79,7.8,0.0,999280.0,3437240.0,140988.0,355847.2,0.8,0.0,0.8,25682.4,19289.8,39273.6,35.8,53.4,8.8,1.6,0.0,1.276367
0.91,9.94,46.35,39126.016,224.228,2.16,559.217,6.95,8.0,0.0,999280.0,3802153.6,141016.8,357456.8,47.2,0.0,158.4,29765.6,17803.0,40617.2,36.0,54.6,8.8,1.0,0.0,1.096371
0.91,9.341,51.328,36622.336,220.524,2.07,535.013,6.93,8.2,0.4,999024.0,4208775.2,141052.8,355632.0,9.6,0.0,12.8,29071.2,17623.8,36669.8,35.8,54.6,9.0,1.0,0.0,1.214499
0.94,9.324,70.073,43317.248,251.725,1.87,540.877,7.38,7.4,0.2,998563.2,4743109.6,141069.6,357750.4,131.2,0.0,131.2,29480.8,17337.0,37581.8,35.6,56.6,7.0,0.8,0.0,1.175383
0.98,9.007,60.375,41619.456,268.02,1.63,528.663,7.17,6.4,0.4,998256.0,4886616.8,141081.6,360320.8,23.2,0.0,23.2,29089.6,17521.6,35864.6,35.2,56.2,7.8,1.0,0.0,1.383976
1.09,9.979,42.285,31220.736,313.324,1.53,646.551,5.89,7.0,0.0,997744.0,5016130.4,141097.6,356663.2,89.6,0.0,90.4,30898.4,18404.8,39722.4,31.2,60.4,7.4,1.0,0.0,1.096299
1.1,9.485,51.947,27343.872,307.523,1.52,673.44,5.58,6.6,0.0,997744.0,5233844.0,141100.0,358895.2,8.8,0.0,11.2,30817.6,18569.0,37659.2,37.2,55.2,6.8,1.0,0.0,1.208966
1.17,9.323,53.26,24246.272,335.639,1.48,739.345,5.0,8.0,0.2,997129.6,5202099.2,141428.0,372332.0,882.4,0.0,4459.8,29583.2,17563.6,37226.6,39.4,53.6,6.4,1.0,0.0,1.237192
1.28,9.152,65.064,20742.144,380.523,1.16,844.806,4.38,8.2,0.4,996976.0,5307570.4,141604.0,381772.0,39.2,0.0,40.0,29304.8,17246.4,37564.4,41.0,51.6,6.4,0.8,0.0,1.290912
1.3,9.11,76.018,16227.328,370.282,1.16,840.393,4.34,8.8,0.2,992040.0,5344542.4,141616.0,377964.8,5.6,0.0,5.6,27728.0,16861.6,36585.2,42.8,49.2,7.2,1.2,0.0,1.24229
1.3,9.315,57.132,13059.072,369.98,1.23,879.389,4.16,7.2,0.2,991784.0,5447563.2,141642.4,386395.2,9.6,0.0,11.2,26277.6,17617.4,36370.8,45.8,47.6,6.0,0.8,0.0,1.168731
1.12,9.348,53.979,23435.264,322.585,1.42,718.405,5.28,5.6,0.2,991784.0,5825802.4,141652.0,386153.6,10.4,0.0,10.4,24582.4,17266.4,37683.2,42.6,49.8,6.6,1.2,0.0,1.197709
1.13,9.4,36.135,28327.936,399.843,1.13,513.738,6.95,6.2,0.4,991172.0,6075343.2,141652.0,379617.6,5.6,0.0,5.6,25118.4,17945.4,37247.0,35.0,57.0,7.2,1.0,0.0,1.213783
1.12,9.122,53.309,31975.424,422.662,1.08,511.639,7.23,5.4,0.2,990502.4,6277613.6,141660.8,385852.8,12.0,0.0,20.8,22460.8,17862.0,36049.2,35.4,55.0,8.0,1.6,0.0,1.161812
0.86,9.506,44.813,19713.024,271.773,1.77,444.384,7.86,7.6,0.0,990400.0,6462360.8,141677.6,382278.4,41.6,0.0,41.6,26041.6,18592.4,37968.0,40.2,51.0,7.6,1.4,0.0,1.333128
0.62,8.229,66.575,16812.032,237.403,2.16,317.452,11.4,9.8,0.0,1114456.0,1904852.0,19657.6,234229.6,13569.6,47172.0,51749.8,64811.2,18689.6,32256.8,19.0,74.4,3.2,3.6,0.0,1.354012
0.57,8.704,44.286,55512.064,211.375,1.81,285.681,14.27,4.6,1.0,1102479.2,4526383.2,35961.6,284350.4,4902.4,5524.8,8553.4,27412.0,17633.8,33722.6,24.6,68.6,4.8,2.0,0.0,1.471649
0.78,8.38,55.15,33335.296,196.479,1.96,426.084,8.83,7.0,0.0,1048462.4,2869626.4,77008.0,334680.8,157.6,0.0,1522.4,25086.4,16361.4,32828.6,27.8,64.8,6.4,0.6,0.0,1.372466
0.6,9.114,30.033,71507.968,207.27,2.11,301.381,14.8,8.4,0.0,1049913.6,4278510.4,76511.2,317249.6,138.4,0.0,3780.8,24433.6,16478.2,36400.0,29.8,62.2,6.8,1.4,0.0,1.292481
0.78,9.719,58.375,34412.544,204.072,2.15,455.855,8.53,7.6,0.0,1047968.0,3011566.4,116974.4,334791.2,60.0,0.0,164.8,26717.6,17805.6,37986.4,33.0,59.0,6.8,1.4,0.0,1.1052
0.63,9.97,37.175,62833.664,196.993,2.36,353.112,12.08,8.0,0.0,1047251.2,4149636.0,129243.2,342215.2,57.6,0.0,311.2,27622.4,18512.0,39958.4,27.2,65.2,6.2,1.2,0.0,1.053819
0.65,9.326,31.849,62458.88,180.796,2.24,344.71,11.29,5.0,0.2,1046944.0,3837603.2,132886.4,348938.4,1.6,0.0,10.4,24451.2,18789.4,37061.4,23.2,64.8,10.8,1.4,0.0,1.283318
0.71,9.511,53.344,59492.352,176.092,2.35,430.344,8.99,5.8,0.4,1046278.4,3552910.4,133695.2,348276.8,20.0,0.0,24.8,25712.8,17931.8,37922.2,24.8,66.0,8.2,1.4,0.0,1.175092
0.96,9.911,62.299,30142.464,176.162,2.57,629.78,5.65,7.0,0.0,1024631.2,2701968.8,133973.6,350625.6,39.2,0.0,39.2,26202.4,17938.4,39448.0,36.4,54.0,8.6,1.4,0.0,1.001336
0.79,10.404,53.075,54154.24,170.804,2.75,525.387,7.66,5.4,0.2,1003622.4,3454563.2,134063.2,357199.2,152.0,0.0,796.2,27775.2,19735.6,41549.0,30.0,62.0,6.6,1.4,0.0,1.006168
0.95,10.01,59.129,35454.976,194.703,2.36,608.413,6.05,6.0,1.0,1003302.4,3585472.8,134127.2,357095.2,3.2,0.0,3.2,25746.4,17270.0,39171.2,35.8,55.0,7.6,1.6,0.0,0.976937
1.03,9.578,66.069,45795.328,246.644,1.73,623.39,5.85,6.0,0.0,1001288.8,3713887.2,134272.8,367028.0,49.6,0.0,823.2,25569.6,17769.4,38770.8,33.2,57.0,8.8,1.0,0.0,1.198264
0.95,9.431,47.484,52519.936,228.408,1.92,593.816,6.59,7.2,0.2,1001016.8,4064650.4,134324.0,362974.4,13.6,0.0,14.4,27632.0,18260.8,37939.4,35.4,57.8,6.0,1.0,0.0,1.16039
0.99,9.613,51.385,53238.784,264.604,1.69,608.816,6.6,4.2,0.2,1000475.2,4054672.0,134336.8,380878.4,16.0,0.0,136.0,29126.4,17802.4,38419.8,33.6,59.4,6.6,0.8,0.0,1.051687
0.95,9.251,97.339,49173.504,238.7,1.91,560.686,6.78,6.0,0.2,1000354.4,4398849.6,134522.4,375132.8,15.2,0.0,146.4,26570.4,17199.4,36728.6,31.2,60.0,7.8,0.8,0.0,1.047619
0.94,10.166,72.299,48716.8,254.483,1.87,559.72,7.13,6.6,0.2,984461.6,4612419.2,135512.0,404533.6,12.0,0.0,12.0,25247.2,18407.8,40288.4,32.6,60.0,6.6,1.0,0.0,0.980589
1.02,9.926,89.61,42400.768,269.924,1.68,624.838,6.17,4.6,0.2,984256.0,4712334.4,135536.0,412899.2,6.4,0.0,23.2,26042.4,18979.0,39871.0,34.4,57.0,7.6,1.2,0.0,1.044674
